date,name,continent,confirm,suspect,dead,heal
2020-05-24,乌拉圭,南美洲,764,0,22,616
2020-05-24,安道尔,欧洲,762,0,51,653
2020-05-24,格鲁吉亚,亚洲,728,0,12,509
2020-05-24,钻石号邮轮,其他,712,0,13,651
2020-05-24,约旦,亚洲,704,0,9,470
2020-05-24,圣马力诺,欧洲,665,0,42,266
2020-05-24,乍得,非洲,648,0,60,204
2020-05-24,塞拉利昂,非洲,621,0,39,241
2020-05-24,马耳他,欧洲,609,0,6,473
2020-05-24,尼泊尔,亚洲,584,0,3,70
2020-05-24,中非共和国,非洲,552,0,1,18
2020-05-24,牙买加,北美洲,550,0,9,200
2020-05-24,坦桑尼亚,非洲,509,0,21,183
2020-05-24,埃塞俄比亚,非洲,494,0,5,151
2020-05-24,马达加斯加,非洲,488,0,2,138
2020-05-24,刚果（布）,非洲,487,0,16,147
2020-05-24,巴勒斯坦,亚洲,423,0,3,348
2020-05-24,多哥,非洲,373,0,12,133
2020-05-24,佛得角,非洲,371,0,3,142
2020-05-24,毛里求斯,非洲,332,0,10,322
2020-05-24,越南,亚洲,325,0,0,267
2020-05-24,卢旺达,非洲,325,0,0,227
2020-05-24,黑山,欧洲,324,0,9,314
2020-05-24,尼加拉瓜,北美洲,279,0,17,199
2020-05-24,利比里亚,非洲,255,0,26,136
2020-05-24,斯威士兰,非洲,238,0,2,119
2020-05-24,毛里塔尼亚,非洲,227,0,6,7
2020-05-24,也门,亚洲,212,0,39,11
2020-05-24,缅甸,亚洲,201,0,6,120
2020-05-24,乌干达,非洲,198,0,0,68
2020-05-24,莫桑比克,非洲,168,0,0,48
2020-05-24,蒙古,亚洲,141,0,0,32
2020-05-24,文莱,亚洲,141,0,1,136
2020-05-24,贝宁,非洲,135,0,3,61
2020-05-24,圭亚那,南美洲,127,0,10,58
2020-05-24,柬埔寨,亚洲,124,0,0,122
2020-05-24,特立尼达和多巴哥,,116,0,8,108
2020-05-24,巴哈马,北美洲,100,0,11,45
2020-05-24,摩纳哥,欧洲,98,0,4,90
2020-05-24,巴巴多斯,北美洲,92,0,7,70
2020-05-24,列支敦士登公国,欧洲,82,0,1,55
2020-05-24,马拉维,非洲,82,0,3,28
2020-05-24,科摩罗,非洲,78,0,1,18
2020-05-24,利比亚,非洲,75,0,3,39
2020-05-24,叙利亚,亚洲,70,0,4,37
2020-05-24,安哥拉,非洲,61,0,4,18
2020-05-24,津巴布韦,非洲,56,0,4,18
2020-05-24,布隆迪,非洲,42,0,1,20
2020-05-24,厄立特里亚,非洲,39,0,0,39
2020-03-23,马提尼克岛,北美洲,37,0,1,0
2020-05-24,博茨瓦纳,非洲,30,0,1,19
2020-05-24,冈比亚,非洲,25,0,1,13
2020-05-24,安提瓜和巴布达,北美洲,25,0,3,19
2020-05-24,不丹,亚洲,24,0,0,6
2020-05-24,东帝汶,亚洲,24,0,0,24
2020-05-24,格林纳达,北美洲,22,0,0,17
2020-05-24,纳米比亚,非洲,20,0,0,14
2020-05-24,老挝,亚洲,19,0,0,14
2020-05-24,圣卢西亚,北美洲,18,0,0,18
2020-05-24,斐济,大洋洲,18,0,0,15
2020-05-24,伯利兹,北美洲,18,0,2,16
2020-05-24,圣文森特和格林纳丁斯,北美洲,18,0,0,14
2020-05-24,多米尼克,北美洲,16,0,0,16
2020-05-24,圣基茨和尼维斯,北美洲,15,0,0,15
2020-05-24,梵蒂冈,欧洲,12,0,0,2
2020-05-24,苏里南,南美洲,11,0,1,9
2020-05-24,塞舌尔,非洲,11,0,0,11
2020-05-24,巴布亚新几内亚,大洋洲,8,0,0,8
2020-05-24,莱索托,非洲,2,0,0,0
